date,prop_UCI,prop_Kenai,prop_Kasilof
7/1,0.0603,0.0097,0.2147
7/2,0.0694,0.0133,0.2406
7/3,0.0791,0.0173,0.2616
7/4,0.0854,0.0199,0.2792
7/5,0.0968,0.0278,0.2974
7/6,0.1053,0.0326,0.3121
7/7,0.1201,0.0408,0.3416
7/8,0.1346,0.0529,0.3591
7/9,0.1532,0.0661,0.3878
7/10,0.1587,0.0698,0.3949
7/11,0.1701,0.0786,0.4133
7/12,0.2055,0.1157,0.4487
7/13,0.2263,0.1376,0.4695
7/14,0.2737,0.1867,0.5118
7/15,0.3066,0.2227,0.5439
7/16,0.3801,0.3101,0.6080
7/17,0.4264,0.3655,0.6436
7/18,0.4732,0.4167,0.6784
7/19,0.5316,0.4827,0.7190
7/20,0.5773,0.5347,0.7471
7/21,0.6329,0.6017,0.7809
7/22,0.6685,0.6386,0.8045
7/23,0.7153,0.6892,0.8282
7/24,0.7442,0.7167,0.8459
7/25,0.7691,0.7393,0.8617
7/26,0.7984,0.7672,0.8818
7/27,0.8204,0.7924,0.8959
7/28,0.8438,0.8200,0.9080
7/29,0.8629,0.8424,0.9166
7/30,0.8824,0.8650,0.9263
7/31,0.8971,0.8825,0.9357
